INFO:root:using cuda:0 device.
INFO:root:Using 8 dataloader workers every process
INFO:root:using 1103 images for training, 1103 images for validation.
INFO:root:[epoch 1] train_loss: 0.955  val_accuracy: 0.761
INFO:root:using cuda:0 device.
INFO:root:Using 8 dataloader workers every process
INFO:root:using 1103 images for training, 1103 images for validation.
INFO:root:[epoch 1] train_loss: 0.941  val_accuracy: 0.696
INFO:root:[epoch 2] train_loss: 0.717  val_accuracy: 0.840
INFO:root:[epoch 3] train_loss: 0.577  val_accuracy: 0.879
INFO:root:[epoch 4] train_loss: 0.509  val_accuracy: 0.846
INFO:root:[epoch 5] train_loss: 0.462  val_accuracy: 0.937
INFO:root:[epoch 6] train_loss: 0.402  val_accuracy: 0.947
INFO:root:[epoch 7] train_loss: 0.395  val_accuracy: 0.939
INFO:root:[epoch 8] train_loss: 0.429  val_accuracy: 0.955
INFO:root:[epoch 9] train_loss: 0.334  val_accuracy: 0.985
INFO:root:[epoch 10] train_loss: 0.300  val_accuracy: 0.983
INFO:root:[epoch 11] train_loss: 0.282  val_accuracy: 0.947
INFO:root:[epoch 12] train_loss: 0.272  val_accuracy: 0.988
INFO:root:[epoch 13] train_loss: 0.295  val_accuracy: 0.986
INFO:root:[epoch 14] train_loss: 0.253  val_accuracy: 0.996
INFO:root:[epoch 15] train_loss: 0.258  val_accuracy: 0.982
INFO:root:[epoch 16] train_loss: 0.263  val_accuracy: 0.990
INFO:root:[epoch 17] train_loss: 0.264  val_accuracy: 0.990
INFO:root:[epoch 18] train_loss: 0.225  val_accuracy: 0.973
INFO:root:[epoch 19] train_loss: 0.216  val_accuracy: 0.988
INFO:root:[epoch 20] train_loss: 0.231  val_accuracy: 0.983
INFO:root:[epoch 21] train_loss: 0.192  val_accuracy: 0.989
INFO:root:[epoch 22] train_loss: 0.223  val_accuracy: 0.987
INFO:root:[epoch 23] train_loss: 0.189  val_accuracy: 0.994
INFO:root:[epoch 24] train_loss: 0.180  val_accuracy: 0.992
INFO:root:[epoch 25] train_loss: 0.235  val_accuracy: 0.985
INFO:root:[epoch 26] train_loss: 0.169  val_accuracy: 0.992
INFO:root:[epoch 27] train_loss: 0.174  val_accuracy: 0.992
INFO:root:[epoch 28] train_loss: 0.156  val_accuracy: 0.995
INFO:root:[epoch 29] train_loss: 0.168  val_accuracy: 0.996
INFO:root:[epoch 30] train_loss: 0.189  val_accuracy: 0.994
INFO:root:[epoch 31] train_loss: 0.222  val_accuracy: 0.995
INFO:root:[epoch 32] train_loss: 0.176  val_accuracy: 0.998
INFO:root:[epoch 33] train_loss: 0.208  val_accuracy: 0.995
INFO:root:[epoch 34] train_loss: 0.170  val_accuracy: 0.999
INFO:root:[epoch 35] train_loss: 0.156  val_accuracy: 0.995
INFO:root:[epoch 36] train_loss: 0.168  val_accuracy: 0.996
INFO:root:[epoch 37] train_loss: 0.142  val_accuracy: 0.997
INFO:root:[epoch 38] train_loss: 0.118  val_accuracy: 1.000
INFO:root:[epoch 39] train_loss: 0.113  val_accuracy: 0.996
INFO:root:[epoch 40] train_loss: 0.138  val_accuracy: 0.997
INFO:root:[epoch 41] train_loss: 0.146  val_accuracy: 0.996
INFO:root:[epoch 42] train_loss: 0.139  val_accuracy: 0.996
INFO:root:[epoch 43] train_loss: 0.150  val_accuracy: 0.995
INFO:root:[epoch 44] train_loss: 0.126  val_accuracy: 0.998
INFO:root:[epoch 45] train_loss: 0.101  val_accuracy: 0.999
INFO:root:[epoch 46] train_loss: 0.163  val_accuracy: 0.996
INFO:root:[epoch 47] train_loss: 0.153  val_accuracy: 0.997
INFO:root:[epoch 48] train_loss: 0.129  val_accuracy: 0.999
INFO:root:[epoch 49] train_loss: 0.131  val_accuracy: 0.996
INFO:root:[epoch 50] train_loss: 0.121  val_accuracy: 0.997
INFO:root:[epoch 51] train_loss: 0.174  val_accuracy: 0.995
INFO:root:[epoch 52] train_loss: 0.141  val_accuracy: 0.991
INFO:root:[epoch 53] train_loss: 0.146  val_accuracy: 0.998
INFO:root:[epoch 54] train_loss: 0.159  val_accuracy: 0.995
INFO:root:[epoch 55] train_loss: 0.161  val_accuracy: 0.993
INFO:root:[epoch 56] train_loss: 0.186  val_accuracy: 0.997
INFO:root:[epoch 57] train_loss: 0.124  val_accuracy: 0.998
INFO:root:[epoch 58] train_loss: 0.137  val_accuracy: 0.996
INFO:root:[epoch 59] train_loss: 0.126  val_accuracy: 0.998
INFO:root:[epoch 60] train_loss: 0.122  val_accuracy: 1.000
INFO:root:Finished Training
